job_title,salary_in_usd
Data Scientist,145000
Data Architect,180000
Data Architect,155000
Data Engineer,286000
Data Engineer,207000
Director of Data Science,353200
Director of Data Science,249300
Data Scientist,145000
Data Scientist,100000
Data Engineer,265000
Data Engineer,235000
Data Engineer,194500
Data Engineer,115500
Data Scientist,200000
Data Scientist,145000
Data Engineer,210914
Data Engineer,116704
Data Engineer,167500
Data Engineer,106500
Data Engineer,310000
Data Engineer,239000
Data Engineer,310000
Data Engineer,239000
Data Engineer,310000
Data Engineer,239000
Data Engineer,235000
Data Engineer,210000
Data Engineer,210914
Data Engineer,116704
Data Engineer,284000
Data Engineer,236000
Data Analytics Manager,155000
Data Analytics Manager,140000
Data Engineer,175000
Data Engineer,110000
Head of Data Science,314100
Head of Data Science,195800
Data Engineer,200000
Data Engineer,145000
Data Engineer,310000
Data Engineer,239000
Data Scientist,300000
Data Scientist,200000
Data Engineer,196200
Data Engineer,150900
ML Engineer,30000
ML Engineer,25500
Data Analyst,150000
Data Analyst,110000
Data Engineer,162500
Data Engineer,130000
Data Analyst,105380
Data Analyst,64500
Data Analytics Manager,155000
Data Analytics Manager,140000
Data Engineer,100000
Data Engineer,70000
Data Engineer,100000
Data Engineer,70000
Business Data Analyst,105000
Data Engineer,162500
Data Engineer,130000
Machine Learning Engineer,300000
Machine Learning Engineer,250000
Research Engineer,230000
Research Engineer,200000
Data Engineer,180000
Data Engineer,130000
AI Developer,200000
Machine Learning Engineer,280700
Machine Learning Engineer,150450
Data Scientist,93918
Data Scientist,51962
Data Analyst,90000
Data Analyst,75000
Data Specialist,130000
Data Specialist,80000
Data Scientist,180000
Data Scientist,140000
Lead Data Analyst,68000
Data Engineer,125000
Data Engineer,90000
Data Manager,135000
Data Manager,120000
Data Analyst,182500
Data Analyst,121500
Data Analyst,121500
Data Architect,167500
Data Architect,106500
Data Engineer,146000
Data Engineer,75000
Machine Learning Scientist,230000
Machine Learning Scientist,220000
Research Scientist,210000
Research Scientist,151800
MLOps Engineer,135000
MLOps Engineer,104000
MLOps Engineer,134000
MLOps Engineer,124000
Data Architect,167500
Data Architect,106500
Machine Learning Engineer,135000
Data Engineer,143865
Data Engineer,115092
Machine Learning Engineer,130000
Machine Learning Engineer,90000
Data Engineer,149600
Data Engineer,102000
Data Analyst,128000
Data Analyst,85000
Data Engineer,151000
Data Engineer,140000
Data Analyst,154000
Data Analyst,143000
Data Engineer,75000
Data Engineer,60400
Data Analyst,83500
Data Analyst,52500
Data Engineer,90000
Data Engineer,90000
Data Engineer,145000
Data Engineer,120000
Data Analyst,206000
Data Analyst,130000
Data Analyst,160000
Data Analyst,112000
Data Engineer,162500
Data Engineer,130000
Data Scientist,145000
Data Scientist,100000
Data Scientist,145000
Data Scientist,100000
Data Analyst,100000
Data Analyst,85000
Data Engineer,140000
Data Engineer,95000
Financial Data Analyst,130000
Data Analyst,75000
Data Analyst,65000
ML Engineer,160000
ML Engineer,147000
Machine Learning Engineer,250000
Machine Learning Engineer,150000
Analytics Engineer,185700
Analytics Engineer,165000
Data Scientist,128750
Data Scientist,106250
Data Analytics Manager,155000
Data Analytics Manager,140000
Data Science Manager,104500
Data Science Manager,70000
Data Science Consultant,90000
Data Science Consultant,70000
Research Scientist,185000
Research Scientist,125000
Data Scientist,200000
Data Scientist,150000
Data Engineer,260000
Data Engineer,175000
Research Scientist,340000
Research Scientist,150000
Data Engineer,250000
Data Engineer,175000
Data Engineer,146000
Data Engineer,75000
Data Engineer,149600
Data Engineer,102000
Data Engineer,145000
Data Engineer,125000
Data Scientist,150000
Data Scientist,97750
Data Scientist,116990
Data Scientist,82920
Machine Learning Scientist,200000
Machine Learning Scientist,125000
Machine Learning Infrastructure Engineer,205920
Machine Learning Infrastructure Engineer,171600
Data Engineer,154000
Data Engineer,116000
Data Engineer,200000
Data Engineer,120000
Data Analytics Manager,155000
Data Analytics Manager,140000
Research Scientist,185000
Research Scientist,125000
Machine Learning Engineer,200000
Machine Learning Engineer,175000
Data Engineer,140000
Data Engineer,100000
Applied Machine Learning Engineer,130000
Deep Learning Engineer,150000
Deep Learning Engineer,100000
Data Infrastructure Engineer,190000
Data Infrastructure Engineer,160000
Data Infrastructure Engineer,190000
Data Infrastructure Engineer,183310
Machine Learning Engineer,148500
Machine Learning Engineer,126277
Data Analyst,80000
Data Analyst,60000
Data Engineer,140000
Data Engineer,120000
Data Engineer,125000
Data Engineer,90000
Data Engineer,120000
Data Engineer,90000
Data Analyst,165000
Data Analyst,124000
Data Scientist,170000
Data Scientist,120000
Data Analyst,125000
Data Analyst,105000
Data Analyst,110000
Data Analyst,95000
Data Scientist,151410
Data Scientist,115360
Research Scientist,85000
Research Scientist,70000
Data Engineer,162500
Data Engineer,130000
Machine Learning Engineer,110000
Data Analyst,130000
Data Analyst,100000
Data Analyst,150000
Data Analyst,100000
Machine Learning Engineer,180000
Machine Learning Engineer,150000
Data Analyst,103200
Data Analyst,61200
Data Science Manager,220000
Data Science Manager,195000
Data Analyst,206000
Data Analyst,160000
Data Analyst,109000
Data Analyst,79000
Data Engineer,120000
Data Engineer,95000
Data Engineer,250000
Data Engineer,175000
Data Analyst,80000
Data Analyst,52500
Data Analyst,90000
Data Analyst,80000
Data Analyst,150000
Data Analyst,100000
Data Engineer,150000
Data Engineer,130000
Data Engineer,120000
Data Engineer,95000
Data Analyst,120000
Data Analyst,100000
Data Scientist,183310
Data Scientist,183310
Data Analyst,135000
Data Analyst,105500
Data Engineer,120000
Data Engineer,95000
Machine Learning Engineer,145000
Machine Learning Engineer,87000
Data Analyst,116000
Data Analyst,72000
Data Engineer,105000
Data Engineer,70000
Data Analyst,120000
Data Analyst,80000
Machine Learning Engineer,219000
Data Analyst,150000
Data Analyst,100000
Machine Learning Engineer,175000
Machine Learning Engineer,140000
Data Scientist,187500
Data Scientist,165000
Research Engineer,120000
Research Engineer,100000
Data Engineer,120000
Data Engineer,100000
Data Scientist,120000
Data Scientist,105000
Data Analyst,150000
Data Analyst,100000
Data Scientist,130000
Data Scientist,90000
Applied Scientist,222200
Applied Scientist,136000
Data Scientist,147100
Data Scientist,90700
Data Analyst,130000
Data Analyst,100000
Data Modeler,147100
Data Modeler,90700
Data Scientist,170000
Data Scientist,150000
Business Intelligence Engineer,225000
Business Intelligence Engineer,156400
Machine Learning Engineer,200000
Machine Learning Engineer,130000
Data Engineer,253200
Data Engineer,90700
Computer Vision Engineer,342810
Computer Vision Engineer,184590
Data Engineer,270703
Data Engineer,221484
Data Scientist,212750
Data Scientist,185000
Data Scientist,262000
Data Scientist,245000
Data Scientist,275300
Data Scientist,183500
Data Scientist,218500
Data Scientist,199098
Data Engineer,203300
Data Engineer,123600
Research Engineer,189110
Research Engineer,139000
Data Engineer,231500
Data Engineer,166000
Data Scientist,172500
Data Scientist,110500
Data Engineer,238000
Data Engineer,176000
Data Engineer,237000
Data Engineer,201450
Applied Scientist,309400
Applied Scientist,159100
Data Engineer,115000
Data Engineer,81500
Data Scientist,237000
Data Scientist,201450
Computer Vision Engineer,280000
Computer Vision Engineer,210000
Data Architect,280100
Data Architect,168100
Data Engineer,193500
Data Engineer,139000
Machine Learning Engineer,150000
Business Intelligence Engineer,185900
Business Intelligence Engineer,129300
Data Engineer,225000
Data Engineer,175000
Data Engineer,185000
Data Engineer,140000
Data Scientist,105000
Data Scientist,70000
Data Engineer,217000
Data Engineer,185000
Data Analyst,202800
Data Analyst,104300
Data Analyst,145000
Data Analyst,65000
Data Engineer,165000
Data Engineer,132300
Data Engineer,179170
Data Engineer,94300
Analytics Engineer,152500
Analytics Engineer,116450
Data Engineer,247300
Data Engineer,133800
Research Engineer,203000
Research Engineer,133000
Data Scientist,150000
Data Scientist,120000
Analytics Engineer,289800
Analytics Engineer,214000
Analytics Engineer,179820
Analytics Engineer,143860
Machine Learning Engineer,283200
Machine Learning Engineer,188800
Analytics Engineer,289800
Analytics Engineer,214200
Data Engineer,185900
Data Engineer,129300
Data Engineer,252000
Data Engineer,129000
Data Engineer,161800
Data Engineer,141600
Machine Learning Engineer,342300
Machine Learning Engineer,176100
Data Scientist,138784
Data Scientist,83270
Data Analyst,204500
Data Analyst,138900
Machine Learning Engineer,318300
Machine Learning Engineer,212200
Data Engineer,95000
Data Engineer,75000
Data Scientist,195000
Data Scientist,160000
Analytics Engineer,230000
Analytics Engineer,143200
Data Engineer,145000
Data Engineer,115000
Data Analyst,168400
Data Analyst,105200
Applied Scientist,309400
Applied Scientist,159100
Machine Learning Engineer,190000
Machine Learning Engineer,150000
Analytics Engineer,150000
Analytics Engineer,120000
Data Engineer,145000
Data Engineer,120000
Applied Scientist,222200
Applied Scientist,136000
Data Engineer,241000
Data Engineer,155000
Data Engineer,220000
Data Engineer,190000
Data Engineer,160000
Data Engineer,140000
Data Scientist,228000
Data Scientist,186000
Data Scientist,190000
Data Scientist,170000
Data Architect,180000
Data Architect,115000
Data Architect,200000
Data Architect,115000
Data Engineer,200000
Data Engineer,150000
Computer Vision Engineer,215000
Computer Vision Engineer,170000
Machine Learning Engineer,247500
Machine Learning Engineer,172200
Data Analyst,120000
Data Analyst,75000
Data Analyst,140000
Data Analyst,120000
Data Engineer,128000
Data Engineer,81500
Data Engineer,145000
Data Engineer,115000
Data Engineer,185000
Data Engineer,140000
Data Quality Analyst,100000
Data Quality Analyst,80000
Data Scientist,250000
Data Scientist,162500
Data Engineer,145000
Data Engineer,100000
Data Scientist,203500
Data Scientist,152000
Data Scientist,239000
Data Scientist,122900
Data Scientist,237000
Data Scientist,145000
Data Science Manager,191765
Data Science Manager,134236
Analytics Engineer,190000
Analytics Engineer,112000
Data Analyst,135000
Data Analyst,105500
Research Engineer,293000
Research Engineer,185000
Data Analyst,80000
Data Analyst,70000
Data Engineer,220000
Data Engineer,160000
Data Scientist,175000
Data Scientist,145000
Data Analyst,200000
Data Analyst,148500
Data Engineer,240500
Data Engineer,123700
Analytics Engineer,152900
Analytics Engineer,117100
Analytics Engineer,173000
Analytics Engineer,113000
Applied Scientist,260000
Applied Scientist,136000
Applied Scientist,260000
Applied Scientist,136000
Research Scientist,130000
Research Scientist,110000
Applied Scientist,205000
Applied Scientist,184000
Data Analyst,149500
Data Analyst,127075
Data Scientist,195000
Data Scientist,160000
Data Engineer,219535
Data Engineer,146115
Data Scientist,170000
Data Scientist,135000
Data Scientist,175000
Data Scientist,145000
Data Scientist,199000
Data Scientist,162000
Applied Scientist,222200
Applied Scientist,136000
Data Analyst,187000
Data Analyst,128000
Research Scientist,210000
Research Scientist,136000
Data Scientist,175000
Data Scientist,100000
Data Engineer,179000
Data Engineer,109000
Data Scientist,245000
Data Scientist,180000
Data Analyst,142000
Data Analyst,75000
Data Manager,198800
Data Manager,105200
Data Analyst,125000
Data Analyst,112000
Data Scientist,210000
Data Scientist,155000
Data Manager,115000
Data Manager,86000
Data Scientist,165000
Data Scientist,140000
Data Analyst,139000
Data Analyst,106000
Data Architect,250500
Data Architect,159500
Data Engineer,145000
Data Engineer,115000
Data Analyst,140000
Data Analyst,120000
Machine Learning Engineer,257000
Machine Learning Engineer,147000
Data Engineer,222000
Data Engineer,175000
Data Scientist,203000
Data Scientist,133200
Data Engineer,221000
Data Engineer,147000
Data Quality Analyst,100000
Data Quality Analyst,80000
Data Scientist,185900
Data Scientist,129300
Data Scientist,238000
Data Scientist,156000
Machine Learning Engineer,304000
Machine Learning Engineer,199000
Data Engineer,150000
Data Engineer,130000
Data Scientist,140000
Data Scientist,110000
Data Engineer,240000
Data Engineer,183600
Data Engineer,250000
Data Engineer,150000
Data Analytics Manager,160000
Data Analytics Manager,120000
Machine Learning Engineer,289076
Machine Learning Engineer,202353
Data Engineer,145000
Data Engineer,120000
Data Analyst,155000
Data Analyst,106000
Data Engineer,200000
Data Engineer,160000
Data Scientist,157750
Data Scientist,104650
Data Analyst,105000
Data Analyst,90000
Analytics Engineer,179820
Analytics Engineer,143860
Data Analyst,135000
Data Analyst,105500
Machine Learning Engineer,241000
Machine Learning Engineer,181000
Data Scientist,252000
Data Scientist,154000
Data Scientist,191765
Data Scientist,134236
Data Scientist,175000
Data Scientist,145000
Data Scientist,237000
Data Scientist,145000
Data Analyst,80000
Data Analyst,70000
Data Engineer,146000
Data Engineer,75000
Machine Learning Engineer,170000
Machine Learning Engineer,130000
Data Analyst,208450
Data Analyst,170550
Machine Learning Engineer,125000
Machine Learning Engineer,100000
Data Scientist,200000
Data Scientist,170000
Applied Scientist,222200
Applied Scientist,136000
Applied Scientist,260000
Applied Scientist,136000
Data Analyst,153600
Data Analyst,100500
Applied Scientist,205000
Applied Scientist,184000
Data Engineer,203100
Data Engineer,114500
Data Engineer,252000
Data Engineer,129000
Data Engineer,160000
Data Engineer,130000
Data Scientist,170000
Data Scientist,135000
Data Scientist,195000
Data Scientist,160000
Data Analyst,100000
Data Analyst,80000
Data Engineer,223250
Data Engineer,178600
Data Scientist,297300
Data Scientist,198200
Data Scientist,200000
Data Scientist,170000
Data Scientist,317070
Data Scientist,170730
Data Engineer,128000
Data Engineer,81500
Data Engineer,171250
Data Engineer,113750
Data Engineer,165000
Data Engineer,132300
Data Scientist,225000
Data Scientist,175000
Data Engineer,230000
Data Engineer,124500
Machine Learning Engineer,247500
Machine Learning Engineer,172200
Data Analyst,175000
Data Analyst,145000
Data Analyst,148700
Data Analyst,125600
Data Engineer,145000
Data Engineer,115000
Research Scientist,200000
Research Scientist,150000
Data Analyst,185000
Data Analyst,120250
Data Scientist,275300
Data Scientist,183000
Data Architect,170000
Data Architect,125000
Research Scientist,250000
Research Scientist,200000
Machine Learning Engineer,216000
Machine Learning Engineer,184000
Data Engineer,180000
Data Engineer,165000
Data Scientist,185900
Data Scientist,129300
Data Engineer,145000
Data Engineer,120000
Data Scientist,173000
Data Scientist,132000
Data Analyst,208049
Data Analyst,128500
Analytics Engineer,179820
Analytics Engineer,143860
Data Engineer,167500
Data Engineer,106500
Data Scientist,275300
Data Scientist,183500
Data Analyst,190000
Data Analyst,95000
Data Analyst,153600
Data Analyst,106800
Data Scientist,275300
Data Scientist,183500
Machine Learning Scientist,220000
Machine Learning Scientist,170000
Data Analyst,135000
Data Analyst,105500
Data Analyst,100000
Data Analyst,80000
Data Engineer,150000
Data Engineer,111000
Data Engineer,160000
Data Engineer,130000
Data Engineer,252000
Data Engineer,129000
Data Scientist,201036
Data Scientist,134024
Data Analyst,165000
Data Analyst,140000
Data Scientist,172000
Data Scientist,115000
Data Engineer,163800
Data Engineer,126000
Data Scientist,237000
Data Scientist,145000
Data Engineer,139500
Data Engineer,109400
Data Engineer,205600
Data Engineer,105700
Data Engineer,252000
Data Engineer,129000
Data Scientist,239748
Data Scientist,159832
Data Scientist,186300
Data Scientist,102500
Data Engineer,165000
Data Engineer,132300
Data Scientist,190000
Data Scientist,126000
Data Architect,149040
Data Architect,113900
Data Engineer,153600
Data Engineer,106800
Data Engineer,172600
Data Engineer,107900
Data Analyst,180180
Data Analyst,106020
Data Architect,376080
Data Architect,213120
Data Analyst,153600
Data Analyst,100500
Data Analyst,206500
Data Analyst,121600
Data Engineer,260000
Data Engineer,225000
Cloud Database Engineer,170000
Applied Machine Learning Scientist,90000
Data Engineer,275000
Data Engineer,160000
Data Analyst,115934
Data Analyst,81666
Data Scientist,175000
Data Scientist,120000
Machine Learning Engineer,150000
Machine Learning Engineer,120000
Research Engineer,200000
Research Engineer,175000
Data Analyst,110000
Data Analyst,75000
Analytics Engineer,130000
Analytics Engineer,87000
Data Science Manager,299500
Data Science Manager,245100
Data Engineer,147100
Data Engineer,90700
Data Engineer,168400
Data Engineer,105200
Data Scientist,210000
Data Scientist,160000
Applied Scientist,222200
Applied Scientist,136000
Data Analyst,185000
Data Analyst,120250
Data Scientist,205000
Data Scientist,140000
Data Scientist,297300
Data Scientist,198200
Research Scientist,141288
Research Scientist,94192
Data Infrastructure Engineer,184000
Data Infrastructure Engineer,143000
Data Analyst,70000
Data Analyst,55000
Analytics Engineer,275300
Analytics Engineer,183500
Data Architect,149040
Data Architect,113900
Data Analyst,180180
Data Analyst,106020
Data Engineer,139500
Data Engineer,109400
Data Scientist,105000
Data Scientist,70000
Data Engineer,146000
Data Engineer,75000
Data Engineer,160000
Data Engineer,130000
Data Analyst,169000
Data Analyst,110600
Data Operations Engineer,193000
Data Operations Engineer,136850
Machine Learning Engineer,139500
Machine Learning Engineer,109400
Data Engineer,276000
Data Engineer,178500
Data Engineer,252000
Data Engineer,129000
Data Engineer,163800
Data Engineer,126000
Analytics Engineer,170000
Analytics Engineer,130000
Machine Learning Engineer,247500
Machine Learning Engineer,172200
Data Scientist,239748
Data Scientist,159832
Machine Learning Engineer,163800
Machine Learning Engineer,126000
Data Engineer,252000
Data Engineer,129000
Data Science Manager,299500
Data Science Manager,245100
Data Architect,188500
Data Architect,117000
Data Analyst,250000
Data Analyst,138000
Data Engineer,140000
Data Engineer,120000
BI Analyst,160000
BI Analyst,135000
Data Engineer,153600
Data Engineer,106800
Data Analyst,127000
Data Analyst,94000
Data Scientist,210550
Data Scientist,153300
Data Analyst,161500
Data Analyst,119500
Data Analyst,175000
Data Analyst,145000
Data Scientist,175000
Data Scientist,148750
Data Analytics Specialist,105000
Data Analytics Specialist,85000
Research Scientist,215000
Research Scientist,146300
Machine Learning Engineer,153400
Machine Learning Engineer,122700
Data Scientist,186300
Data Scientist,123900
Machine Learning Engineer,153400
Machine Learning Engineer,122700
Data Analyst,185900
Data Analyst,121700
Data Analyst,153600
Data Analyst,106800
Machine Learning Engineer,247500
Machine Learning Engineer,172200
Data Analyst,125000
Data Analyst,110000
Data Scientist,149076
Data Scientist,82365
Machine Learning Engineer,139500
Machine Learning Engineer,109400
Data Engineer,139500
Data Engineer,109400
Data Engineer,252000
Data Engineer,129000
Data Analyst,95000
Data Analyst,85500
Data Analyst,185900
Data Analyst,121700
Data Scientist,201000
Data Scientist,122000
Data Engineer,252000
Data Engineer,129000
Data Analyst,120000
Data Analyst,75000
Data Scientist,185900
Data Scientist,129300
Data Scientist,201000
Data Scientist,122000
Machine Learning Engineer,204500
Machine Learning Engineer,142200
Data Manager,155000
Data Manager,140000
Data Engineer,121500
Data Engineer,78000
Data Scientist,190000
Data Scientist,136000
Data Analyst,180000
Data Analyst,110000
Data Scientist,275300
Data Scientist,183000
Data Engineer,170000
Data Engineer,140000
Data Engineer,154000
Data Engineer,116000
Data Engineer,160000
Data Engineer,130000
Data Scientist,175000
Data Scientist,160000
Data Engineer,153600
Data Engineer,106800
Data Scientist,225000
Data Scientist,156400
Analytics Engineer,150000
Analytics Engineer,120000
Machine Learning Engineer,163800
Machine Learning Engineer,126000
Data Analyst,145000
Data Analyst,90000
Machine Learning Engineer,204500
Machine Learning Engineer,142200
Data Analyst,95000
Data Analyst,85500
Data Engineer,167500
Data Engineer,106500
Data Engineer,163800
Data Engineer,126000
Research Scientist,250000
Research Scientist,200000
Data Scientist,260000
Data Scientist,186000
Data Engineer,160000
Data Engineer,130000
Research Scientist,200000
Research Scientist,150000
Data Scientist,150000
Data Scientist,120000
Data Analyst,175000
Data Analyst,130000
Data Analyst,122000
Data Analyst,93800
Data Analyst,165000
Data Analyst,112000
Machine Learning Engineer,204500
Machine Learning Engineer,142200
Data Engineer,185900
Data Engineer,129300
Data Analyst,185900
Data Analyst,121700
Machine Learning Engineer,204500
Machine Learning Engineer,142200
Data Analyst,180180
Data Analyst,106020
Data Scientist,136000
Data Scientist,104000
Data Analyst,125000
Data Analyst,110000
Machine Learning Engineer,153400
Machine Learning Engineer,122700
Data Analyst,152380
Data Analyst,121904
Data Scientist,185900
Data Scientist,129300
Machine Learning Engineer,247500
Machine Learning Engineer,172200
Data Architect,168400
Data Architect,105200
Machine Learning Engineer,128280
Machine Learning Engineer,106900
Data Engineer,139500
Data Engineer,109400
Machine Learning Engineer,139500
Machine Learning Engineer,109400
Data Analyst,170500
Data Analyst,85000
Data Engineer,80000
Data Engineer,65000
Data Engineer,124740
Data Engineer,65488
Data Quality Analyst,72200
Data Quality Analyst,64980
Data Engineer,153600
Data Engineer,106800
Data Analyst,179975
Data Analyst,86466
Data Engineer,120000
Data Engineer,90000
Data Scientist,149076
Data Scientist,82365
Data Analyst,169000
Data Analyst,110600
Data Science Manager,175000
Data Science Manager,120000
Data Analyst,230000
Data Analyst,180000
Data Analyst,153600
Data Analyst,106800
Data Manager,140000
Data Manager,120000
Machine Learning Infrastructure Engineer,205920
Machine Learning Infrastructure Engineer,171600
Data Analyst,165000
Data Analyst,125000
Data Engineer,265000
Data Engineer,185000
Data Analyst,95000
Data Analyst,85500
Data Scientist,147100
Data Scientist,90700
Data Engineer,167580
Data Engineer,87980
Data Engineer,202000
Data Engineer,135000
Data Engineer,163800
Data Engineer,126000
Machine Learning Engineer,163800
Machine Learning Engineer,126000
Data Engineer,104000
Data Engineer,65000
Research Engineer,230000
Research Engineer,148000
Analytics Engineer,197000
Analytics Engineer,106000
Data Engineer,290000
Data Engineer,210000
Data Engineer,192000
Data Engineer,172800
Data Scientist,300240
Data Scientist,200160
Data Scientist,300240
Data Scientist,200160
Analytics Engineer,175000
Analytics Engineer,140000
Data Manager,169000
Data Manager,100000
Data Scientist,370000
Data Scientist,245000
Data Analyst,110000
Data Analyst,80000
Data Analyst,95000
Data Analyst,85000
Data Engineer,137500
Data Engineer,81500
Machine Learning Engineer,323300
Machine Learning Engineer,184700
Machine Learning Engineer,186000
Machine Learning Engineer,153088
Machine Learning Engineer,200000
Machine Learning Engineer,150000
Machine Learning Engineer,240000
Machine Learning Engineer,180000
Machine Learning Engineer,200000
Machine Learning Engineer,150000
Data Science Manager,299500
Data Science Manager,245100
Data Engineer,144000
Data Engineer,66000
Data Architect,228000
Data Architect,120000
Machine Learning Software Engineer,180000
Machine Learning Software Engineer,90000
Data Scientist,126500
Data Scientist,78000
Data Engineer,180000
Data Engineer,160000
Machine Learning Software Engineer,272000
Machine Learning Software Engineer,170000
Data Engineer,259000
Data Engineer,146000
Data Engineer,200000
Data Engineer,160000
Data Analyst,142000
Data Analyst,95000
Data Scientist,155000
Data Scientist,139500
Data Engineer,259000
Data Engineer,146000
Data Science Lead,247500
Data Science Lead,172200
Data Scientist,225000
Data Scientist,156400
Data Engineer,139500
Data Engineer,109400
Data Scientist,185900
Data Scientist,129300
Machine Learning Engineer,139500
Machine Learning Engineer,109400
Data Analyst,120000
Data Analyst,75000
Data Analyst,169000
Data Analyst,110600
Machine Learning Engineer,288000
Machine Learning Engineer,140000
Machine Learning Engineer,288000
Machine Learning Engineer,140000
Data Scientist,215050
Data Scientist,156400
Data Architect,198000
Data Architect,114000
Machine Learning Engineer,204500
Machine Learning Engineer,142200
Data Scientist,209300
Data Scientist,182200
Data Manager,140000
Data Manager,120000
Machine Learning Engineer,147100
Machine Learning Engineer,90700
Data Engineer,230000
Data Engineer,170000
Data Analyst,227000
Data Analyst,108000
Data Engineer,180000
Data Engineer,160000
Data Architect,180000
Data Architect,160000
Data Engineer,180000
Data Engineer,130000
Data Engineer,226700
Data Engineer,133300
Data Engineer,252000
Data Engineer,129000
Data Analyst,80000
Data Analyst,52500
Data Engineer,250000
Data Engineer,162500
Data Analyst,153600
Data Analyst,106800
Data Analyst,115934
Data Analyst,81666
Data Engineer,167580
Data Engineer,87980
Data Engineer,250000
Data Engineer,63000
Data Engineer,124740
Data Engineer,65488
Data Engineer,213580
Data Engineer,163625
Machine Learning Engineer,220000
Machine Learning Engineer,170000
Data Architect,180000
Data Architect,115000
Data Architect,200000
Data Architect,115000
Data Science Manager,231250
Data Science Manager,138750
Machine Learning Engineer,284310
Machine Learning Engineer,153090
Data Engineer,160000
Data Engineer,75000
Data Science Lead,225900
Data Science Lead,156400
Data Engineer,250000
Data Engineer,162500
Machine Learning Engineer,318300
Machine Learning Engineer,188800
Data Analyst,385000
Data Analyst,60000
Data Scientist,145000
Data Scientist,135000
Data Analyst,180180
Data Analyst,106020
Data Analyst,93919
Data Analyst,51962
Data Engineer,241871
Data Engineer,133832
Data Scientist,170000
Data Scientist,90000
Data Analyst,192500
Data Analyst,140000
Data Scientist,149076
Data Scientist,82365
Data Scientist,175000
Data Scientist,148750
Research Scientist,370000
Research Scientist,200000
Data Scientist,235000
Data Scientist,185000
Data Scientist,216100
Data Scientist,140800
Data Engineer,128000
Data Engineer,81500
Research Engineer,155850
Research Engineer,102544
Data Scientist,250000
Data Scientist,162500
BI Developer,135000
BI Developer,100000
Machine Learning Engineer,204500
Machine Learning Engineer,142200
Data Engineer,226700
Data Engineer,133300
Data Scientist,225000
Data Scientist,156400
Data Engineer,163800
Data Engineer,126000
Machine Learning Engineer,163800
Machine Learning Engineer,126000
ML Engineer,220000
ML Engineer,150000
Data Engineer,145000
Data Engineer,115000
Data Analytics Manager,204500
Data Analytics Manager,138900
Data Engineer,150000
Data Engineer,107000
Data Engineer,226700
Data Engineer,133300
Data Engineer,252000
Data Engineer,129000
Machine Learning Engineer,150000
Machine Learning Engineer,125000
Data Engineer,252000
Data Engineer,129000
Data Scientist,225000
Data Scientist,156400
Data Engineer,265000
Data Engineer,182750
Data Analyst,153600
Data Analyst,106800
Data Engineer,137500
Data Engineer,81500
Applied Scientist,205000
Applied Scientist,180000
Data Scientist,165000
Data Scientist,144000
Data Manager,199000
Data Manager,112000
Data Scientist,105000
Data Scientist,70000
Data Analyst,180180
Data Analyst,106020
Data Scientist,183000
Data Scientist,134000
Machine Learning Engineer,220000
Machine Learning Engineer,150000
Applied Scientist,350000
Applied Scientist,262500
Data Analyst,122000
Data Analyst,94000
Machine Learning Engineer,276000
Machine Learning Engineer,184000
Data Scientist,225000
Data Scientist,156400
