Education,Salary
PhD,99501
High School,58373
High School,114814
PhD,136949
Masters,89752
PhD,93603
High School,101261
PhD,95787
PhD,148989
High School,107239
Masters,111905
PhD,109056
High School,67639
Masters,137001
Masters,109276
Masters,111329
College,80112
PhD,82582
College,72875
College,115234
College,85266
High School,107929
Masters,95867
College,87635
High School,89142
High School,113812
College,98933
Masters,65225
PhD,102966
PhD,128384
College,115339
College,84051
Masters,106220
PhD,99405
High School,97897
High School,127356
PhD,111944
PhD,136316
High School,129208
Masters,120345
High School,112472
High School,71193
Masters,97374
Masters,136686
College,62490
High School,76841
High School,84795
College,90201
High School,73500
Masters,67510
Masters,82118
College,165250
High School,57952
High School,73575
High School,89272
College,97352
College,100925
College,117136
Masters,73853
PhD,106860
College,87448
Masters,140520
High School,93157
College,107605
College,110926
College,77863
College,123152
PhD,100321
Masters,80692
Masters,76266
Masters,104757
High School,111779
High School,88943
High School,47661
High School,83077
PhD,110554
College,111496
High School,100732
Masters,81204
Masters,70000
High School,132316
College,69172
High School,111245
High School,93132
High School,45662
PhD,64725
High School,72868
High School,63953
PhD,116596
High School,108635
PhD,96794
High School,115779
Masters,109247
Masters,123255
High School,91130
High School,105111
College,102858
High School,110447
Masters,68609
PhD,89097
Masters,78267
Masters,46223
Masters,140139
High School,72991
Masters,129159
PhD,102584
PhD,102701
PhD,83303
Masters,106795
Masters,101827
College,99424
High School,96035
PhD,94577
College,142205
Masters,97576
High School,96665
High School,138001
Masters,113817
College,115140
High School,63911
Masters,66123
Masters,133770
PhD,112658
PhD,85886
High School,91844
Masters,75745
Masters,125256
Masters,147482
College,85416
College,101571
Masters,69354
Masters,105654
PhD,63240
College,67397
Masters,78221
High School,118727
College,112174
High School,98707
Masters,162935
Masters,91484
PhD,89835
PhD,74590
College,97456
Masters,107301
College,117076
Masters,163011
PhD,105560
High School,81071
College,76614
College,126905
College,85010
PhD,133783
High School,128331
Masters,78479
College,95026
High School,148350
College,93041
High School,84364
PhD,151509
High School,137966
PhD,94622
College,64504
Masters,142160
Masters,69995
PhD,136533
College,121218
PhD,44638
PhD,95194
High School,164521
PhD,120308
College,75296
PhD,183562
Masters,136138
College,66091
PhD,110941
PhD,168968
PhD,96981
College,82769
Masters,75211
College,97970
Masters,84305
High School,93964
College,84291
Masters,87472
PhD,158567
Masters,63685
College,109841
College,78332
PhD,64926
High School,123920
Masters,125689
High School,77536
Masters,142258
College,73373
High School,93318
College,86667
College,91843
PhD,121179
College,72077
High School,78332
High School,104513
PhD,69009
High School,67872
High School,72877
Masters,125369
PhD,86625
College,111773
PhD,120721
Masters,96636
High School,77840
College,128871
PhD,111910
College,81331
Masters,120383
Masters,113602
PhD,86439
College,99519
High School,129660
College,61336
College,44346
PhD,86304
High School,47688
College,78250
High School,86903
High School,132085
College,130060
High School,69376
Masters,88644
High School,82935
PhD,128688
PhD,90080
PhD,130184
Masters,84991
PhD,63868
PhD,98125
College,97323
Masters,125809
Masters,99345
College,124502
High School,104592
College,145780
College,56801
PhD,83942
College,138272
PhD,96221
Masters,107253
PhD,119418
Masters,162262
College,141823
College,91057
High School,73929
PhD,108578
Masters,149510
PhD,113622
College,132198
High School,90816
High School,150486
PhD,76374
High School,93594
PhD,98932
High School,81887
High School,108534
PhD,135113
High School,80224
PhD,152071
Masters,82495
Masters,136509
PhD,58373
College,98977
College,125307
College,92511
College,81254
Masters,110925
High School,90146
Masters,128969
PhD,74452
College,84236
College,113658
Masters,96282
College,114851
Masters,161343
High School,122934
High School,103927
High School,40828
Masters,128320
Masters,119182
PhD,99796
PhD,117934
PhD,89556
PhD,112017
High School,55918
High School,105633
PhD,101201
College,83350
Masters,114848
High School,137199
Masters,92258
Masters,103036
Masters,120342
High School,98562
PhD,138145
PhD,126326
College,82775
College,71927
College,130302
Masters,83468
College,90901
PhD,121023
PhD,76085
PhD,116693
Masters,112026
PhD,122413
PhD,95892
College,94146
Masters,86167
Masters,141971
High School,85009
High School,125671
High School,93901
PhD,82229
Masters,121525
Masters,122354
PhD,72581
PhD,122350
Masters,81790
College,134166
College,122501
High School,92417
College,89148
Masters,74253
College,154955
PhD,99917
College,93848
College,75827
PhD,110217
Masters,117114
Masters,109559
Masters,101406
PhD,135535
PhD,94968
Masters,155266
Masters,106536
PhD,97265
College,96182
Masters,132436
College,117347
College,164857
PhD,119821
PhD,111544
High School,107222
High School,88264
High School,77599
College,71830
High School,72872
PhD,121261
PhD,127902
PhD,76546
College,133071
College,105985
College,89515
PhD,133005
College,48905
College,105044
Masters,83422
PhD,117715
College,118877
College,105531
College,93487
College,83450
Masters,71687
Masters,86911
College,132759
High School,112025
High School,62570
High School,76173
PhD,104764
College,133137
High School,112764
Masters,96955
PhD,72535
PhD,156896
Masters,77056
College,80022
High School,75117
High School,100431
College,108395
PhD,96640
College,95446
Masters,106546
College,106115
College,62461
College,55174
Masters,103635
Masters,119460
Masters,102350
College,62499
College,127628
Masters,127085
College,92055
Masters,91834
College,120871
College,72003
High School,74709
High School,98578
PhD,105523
PhD,128695
PhD,94061
Masters,50637
High School,44030
High School,72131
PhD,137946
PhD,116881
Masters,64457
PhD,98096
College,130327
PhD,119967
College,106326
PhD,140701
College,131358
College,117656
High School,83645
College,97023
College,111974
High School,73443
PhD,80546
Masters,143724
College,109124
Masters,171735
Masters,123546
Masters,112714
High School,64882
PhD,131052
High School,94976
High School,107597
Masters,81431
Masters,44013
High School,117311
College,72180
PhD,84587
Masters,60805
Masters,102652
Masters,125414
Masters,111933
College,87014
PhD,84135
PhD,110978
College,78949
High School,83682
Masters,90209
College,47695
Masters,83177
Masters,83892
PhD,55074
College,135228
High School,93014
College,58180
High School,87049
PhD,77435
High School,68926
High School,90446
High School,98202
PhD,98170
High School,78119
College,124424
Masters,98486
Masters,99849
Masters,115809
College,93033
Masters,111169
High School,85839
Masters,100693
PhD,103060
High School,84837
College,109433
High School,97586
PhD,131262
College,100322
Masters,129924
Masters,137195
High School,75829
College,75979
High School,58835
College,102302
Masters,131635
Masters,105833
High School,98382
College,100556
High School,112047
PhD,117115
Masters,112010
High School,64148
Masters,96525
High School,105001
PhD,88616
Masters,81276
Masters,90308
College,98940
Masters,115875
PhD,113474
Masters,140172
PhD,90588
High School,105722
College,85094
PhD,162967
PhD,135437
College,81664
High School,98725
High School,93742
Masters,88379
College,86972
PhD,107301
PhD,84957
College,78442
High School,88528
Masters,123206
Masters,138666
PhD,124172
High School,89227
PhD,126722
High School,109291
College,76591
Masters,102932
PhD,113135
PhD,134671
High School,109048
Masters,152243
PhD,72440
High School,68488
High School,101877
College,133357
College,158817
High School,113708
PhD,107025
High School,86094
Masters,107874
College,82108
Masters,93179
PhD,72633
Masters,89887
Masters,78124
Masters,60009
Masters,100675
PhD,111798
College,100054
High School,107747
Masters,124786
College,91997
High School,104773
PhD,117219
PhD,156702
Masters,105131
Masters,109125
Masters,139664
High School,67418
PhD,106209
PhD,162121
High School,83690
High School,73873
College,112964
High School,126789
College,105294
PhD,113004
Masters,105090
Masters,65063
PhD,157327
College,132402
Masters,127577
High School,81532
Masters,94717
PhD,108952
College,139705
High School,108934
High School,122270
PhD,144110
Masters,138293
High School,71901
College,82297
High School,66531
High School,127947
PhD,56144
PhD,81177
PhD,122208
College,111728
College,115915
PhD,121263
College,89159
PhD,118687
High School,90750
Masters,83172
College,71958
College,117939
Masters,160790
College,110738
High School,114768
PhD,142848
College,101518
High School,111999
High School,103985
Masters,87575
College,119455
High School,82698
PhD,105389
College,44692
College,67980
Masters,113099
High School,113524
College,118548
High School,52568
Masters,107764
Masters,116481
College,99206
High School,141578
Masters,119494
Masters,69887
PhD,82838
College,69304
PhD,106933
High School,167303
PhD,56309
Masters,119145
High School,139818
High School,67393
PhD,143194
Masters,140119
PhD,126404
PhD,87325
High School,100171
High School,58116
College,118685
Masters,103985
College,66005
Masters,87737
College,59680
Masters,77854
High School,110717
PhD,111266
High School,112286
High School,44722
High School,125266
High School,107737
Masters,125182
High School,86961
High School,40958
College,120171
High School,55337
Masters,101732
High School,85511
College,114432
High School,88730
PhD,97297
Masters,89173
Masters,124894
High School,86626
High School,155013
High School,86516
Masters,100207
PhD,94774
High School,117493
Masters,134816
PhD,135111
College,43358
High School,86316
High School,121537
High School,99929
PhD,144601
High School,118381
PhD,111536
College,85050
College,90978
High School,65579
High School,79092
Masters,75882
High School,95858
Masters,105991
PhD,66900
High School,69998
College,127264
High School,61165
PhD,119702
High School,59945
PhD,128041
Masters,104929
College,129789
High School,80593
Masters,104286
Masters,148984
High School,119980
College,163390
High School,89856
College,123095
College,110766
PhD,95954
PhD,139467
College,96469
High School,127543
High School,144389
High School,119403
Masters,96581
High School,134495
College,101057
Masters,103591
High School,115117
College,65347
High School,93109
Masters,125942
Masters,116726
High School,90168
High School,106277
Masters,123506
Masters,99653
PhD,57109
Masters,87999
High School,68694
High School,45447
College,118541
High School,63448
High School,123614
College,135821
High School,98118
College,119672
Masters,118642
PhD,82424
Masters,116101
Masters,95748
College,74739
High School,108414
College,107871
High School,73317
High School,67435
High School,72076
College,94004
High School,64631
PhD,112862
Masters,142024
High School,120234
Masters,105064
Masters,89743
College,53598
High School,100040
College,121881
PhD,103415
High School,138462
College,88376
PhD,126180
PhD,117887
PhD,184010
College,110679
PhD,146719
PhD,112862
High School,113360
PhD,131513
Masters,110171
High School,85057
Masters,98328
High School,110875
PhD,129400
College,129719
PhD,96165
High School,126860
High School,64613
PhD,80930
High School,116490
Masters,131977
College,140906
High School,91872
High School,103766
Masters,97954
College,41030
College,115970
PhD,70167
PhD,101325
PhD,126686
PhD,108749
College,57936
PhD,124317
High School,91002
PhD,128177
College,70405
College,103432
College,95710
College,66955
Masters,94643
High School,64198
Masters,50680
Masters,69773
PhD,116440
High School,136182
High School,111781
Masters,110098
High School,109124
High School,109530
Masters,111799
High School,94980
High School,90570
Masters,93962
College,90248
College,112668
PhD,101584
Masters,95075
High School,84775
High School,121857
College,65394
High School,114932
High School,123257
College,100394
High School,101838
Masters,104416
High School,99310
Masters,94348
Masters,108986
College,84963
Masters,82673
PhD,88030
High School,65914
Masters,112544
High School,95071
High School,99601
PhD,125352
