name,industry,employeeCount
AHV Communities,Real Estate,53
AIDS Healthcare Foundation,Hospital & Health Care,2279
Aikium Inc.,Biotechnology,6
Aimbridge Hospitality,Hospitality,7529
Aimic Inc,Information Technology & Services,42
Air Products,Chemicals,14949
Air Squared,Mechanical Or Industrial Engineering,70
"Air Transport International, Inc.",Aviation & Aerospace,679
Air Ventures LLC,Food & Beverages,20
Airbus,Aviation & Aerospace,74236
Airdrop,Venture Capital & Private Equity,12
Airgas,Chemicals,10100
Airlines for America,Airlines/Aviation,327
"Airtech Vacuum, Inc.",Machinery,66
Aisin World Corp. of America,Automotive,445
AIXIAL GROUP,Research,659
"AIYA Technology System, LLC",Computer Software,19
"Ajinomoto Foods North America, Inc.",Food Production,568
AKA Hotels+Hotel Residences,Hospitality,768
AKAM,Real Estate,810
Akkodis,Information Technology & Services,21147
"Akraya, Inc.",Staffing & Recruiting,265
Akron Children's Hospital,Hospital & Health Care,4264
Akumin®,Hospital & Health Care,717
Alamo Group Inc.,Machinery,414
Alaska Bar Association,Legal Services,21
Albertsons Companies,Retail,88949
Albertsons Market,Retail,37
Albion Fit,Retail,41
Alchemy Software Solutions,Human Resources,92
Alcon,Medical Device,24323
"Aledade, Inc.",Hospital & Health Care,1284
"Alex Lee, Inc.",Retail,443
Alexander Technology Group,Information Technology & Services,89
ALH Law Group,Legal Services,4
Alianza Center,Non-profit Organization Management,4
Align Technology,Medical Device,11831
AliveCor,"Health, Wellness & Fitness",153
Alkaline Labs,"Health, Wellness & Fitness",4
Alkermes,Biotechnology,2398
ALKU,Staffing & Recruiting,1190
"All About Therapy, PLLC","Health, Wellness & Fitness",25
All3Media International,Media Production,133
Alldus,Staffing & Recruiting,59
Allegan Event,Recreational Facilities & Services,4
Allen Institute for AI (AI2),Research,327
Allergan Data Labs,Information Technology & Services,180
AllGreen Enterprise,Electrical & Electronic Manufacturing,1
Alliance for Living,Civic & Social Organization,27
Alliance Resource Consulting,Staffing & Recruiting,4
Allianz Trade in North America,Insurance,385
"Allied Consultants, Inc.",Information Technology & Services,61
Allied OMS,Hospital & Health Care,22
Allied OneSource,Staffing & Recruiting,184
Allied Universal,Security & Investigations,70952
Allied Universal Janitorial Services,Facilities Services,92
Allspring Global Investments,Financial Services,1094
Allstate Insurance: Mark S Freemyer,Insurance,0
AllSTEM Connections,Staffing & Recruiting,118
Allvue Systems,Computer Software,585
Ally,Financial Services,13285
"Allyon, Inc.",Staffing & Recruiting,170
Alma,Mental Health Care,781
ALOIS Solutions,Information Technology & Services,413
ALPHA DYNAMICS LLC,Staffing & Recruiting,12
Alpha Grand Rapids,Individual & Family Services,23
Alpha Silicon,Information Technology & Services,137
Alpine Research Optics,Mechanical Or Industrial Engineering,25
Alpine Solutions Group,Information Technology & Services,60
"ALT Sports Data, Inc.",Information Services,11
Alta Developers,Real Estate,15
Alta Equipment Company,Machinery,818
Altair,Computer Software,3598
Altamont Capital Partners,Venture Capital & Private Equity,115
AltaView Advisors LLC,Financial Services,27
Altec,Machinery,3927
ALTEN Technology USA,Information Technology & Services,450
Amalgamated Sugar Company,Food Production,582
Amazon,Computer Software,829111
Amazon Games,Entertainment,1162
Amazon Web Services (AWS),Information Technology & Services,130559
AMB Sports + Entertainment,Financial Services,0
"Ambassador Personnel, Inc.",Staffing & Recruiting,600
AMBRION,Staffing & Recruiting,23
AMC Networks,Entertainment,2487
AMD,Semiconductors,29111
"Amen Clinics, Inc.",Mental Health Care,307
Amentum,Defense & Space,27225
Ameren,Utilities,6670
America Needs You,Non-profit Organization Management,405
American Association of Clinical Endocrinology (AACE),Hospital & Health Care,91
American Bureau of Shipping (ABS),Transportation/Trucking/Railroad,6178
American Chase,Information Technology & Services,114
American Clean Power Association (ACP),Renewables & Environment,168
American College of Lifestyle Medicine,"Health, Wellness & Fitness",166
American Diabetes Association,Non-profit Organization Management,1045
American Direct,Building Materials,199
American Family Insurance,Insurance,17565
American Fidelity,Insurance,2091
American Food Service Depot,Wholesale,36
American Gem Society,Luxury Goods & Jewelry,50
American Heart Association,"Health, Wellness & Fitness",9137
American Heritage Credit Union,Financial Services,431
"American Honda Motor Company, Inc.",Automotive,11847
American Horticultural Society,Non-profit Organization Management,31
American Idol Productions,Entertainment,97
American Modern Insurance Group,Insurance,1121
American Museum of Natural History,Museums & Institutions,1337
American National,Insurance,5064
American National Insulation & Sealants,Construction,14
American PCS Inc.,Information Technology & Services,11
American Recruiters,Staffing & Recruiting,72
American Society of Clinical Oncology (ASCO),Non-profit Organization Management,790
American Specialty Health,"Health, Wellness & Fitness",1516
American Steel Builders,Fine Art,0
American Sugar Refining Inc,Food Production,234
American Trucking Group,Transportation/Trucking/Railroad,9
AmeriCorps,Government Administration,8497
AmeriGas,Oil & Energy,2838
Ameriminds Solutions Inc,Information Technology & Services,7
Amerit Consulting,Staffing & Recruiting,68
Amerock Hardware,Building Materials,51
AMETEK,Electrical & Electronic Manufacturing,4470
Amherst,Financial Services,800
AMI Network,Staffing & Recruiting,37
AMISEQ,Information Technology & Services,152
AMN Healthcare,Staffing & Recruiting,4971
AMN Healthcare Leadership,Hospital & Health Care,576
Ampcus Inc,Information Technology & Services,474
Ampstek,Information Technology & Services,262
AMS Financial Solutions Group,Financial Services,51
AMSALE,Apparel & Fashion,42
Amtec Global Solutions Inc,Staffing & Recruiting,35
Amtec Inc.,Staffing & Recruiting,213
Amtex Systems Inc.,Information Technology & Services,927
Amtrak,Transportation/Trucking/Railroad,12182
"AmTrust Financial Services, Inc.",Insurance,4404
"Amundsen Davis, LLC",Law Practice,385
Analog Devices,Semiconductors,22943
Anaplan,Computer Software,2405
AnaptysBio,Biotechnology,118
Anblicks,Information Technology & Services,663
Ancestry,Computer Software,1790
Anchor Packaging,Packaging & Containers,520
Anchor Quest,Staffing & Recruiting,2
Ancient Craft Imports,International Trade & Development,4
Anderson Process,Machinery,113
Anderson School District Three,Education Management,84
ANDRITZ,Machinery,11846
Angry Chickz,Restaurants,48
Animal Care Center of Green Valley,Veterinary,12
Anira Solutions Inc,Information Technology & Services,42
Ankura,Management Consulting,1983
Anna Lucia Events,Events Services,8
Anne Arundel County Public Schools,Primary/Secondary Education,6290
Annexon Biosciences,Biotechnology,81
Anonymous,Marketing & Advertising,2318
Anord Mardix,Electrical & Electronic Manufacturing,612
Another Source,Staffing & Recruiting,76
Antech Diagnostics,Non-profit Organization Management,1272
AntetokounBros,Apparel & Fashion,9
Anthony & Sylvan Pools,Construction,413
Anthropologie,Apparel & Fashion,4982
Antolin,Automotive,7267
"ANUSCHKA by The Basu Group, Inc.",Apparel & Fashion,38
"Anveta, Inc",Information Technology & Services,105
AnyRoad,Computer Software,232
AP Professionals of WNY,Staffing & Recruiting,12
Aparium Hotel Group,Hospitality,262
"APCO Holdings, LLC",Automotive,190
Apetan Consulting LLC,Information Technology & Services,143
Apex Fintech Solutions,Financial Services,701
Apex Systems,Information Technology & Services,13092
Apexon,Information Technology & Services,3498
Apidel Technologies,Staffing & Recruiting,340
APL,Logistics & Supply Chain,4840
"Apogee Enterprises, Inc.",Building Materials,196
Apolis,Information Technology & Services,305
Apollo Technical,Staffing & Recruiting,25
AppDynamics,Computer Software,1542
Appen,Information Technology & Services,20665
"AppFolio, Inc.",Computer Software,1674
Appier,Information Technology & Services,766
Apple,Consumer Electronics,300554
AppleOne Employment Services,Staffing & Recruiting,5006
Applicantz,Computer Software,181
"Applied Engineering, Inc.",Mechanical Or Industrial Engineering,158
Applied Materials,Semiconductors,25797
AppOmni,Computer & Network Security,191
Apptio,Computer Software,1468
apree health,Hospital & Health Care,977
Apricot Solar,Renewables & Environment,212
Aprio,Accounting,1746
AptAmigo,Real Estate,114
ApTask,Information Technology & Services,272
"Aptino, Inc.",Information Technology & Services,47
Aptitude: Intelligent Integration,Construction,42
Aptive Environmental,Environmental Services,1700
Aquarius Professional Staffing,Staffing & Recruiting,22
Aquent,Staffing & Recruiting,3297
aquesst,Information Technology & Services,23
aramco,Oil & Energy,98901
Arbor,Computer Software,12
Arbor Financial Group,Financial Services,178
"Arc Analytics, LLC",Information Technology & Services,2
Arcadia University,Higher Education,1371
Arcadian Infracom,Information Technology & Services,15
Arch Metals,Mining & Metals,8
Arch Staffing & Consulting,Staffing & Recruiting,185
Archer,Airlines/Aviation,816
Archon Resources,Staffing & Recruiting,47
ARCO a Family of Construction Companies,Construction,1857
ARCO National Construction Company,Construction,268
Arcondis Group,Management Consulting,237
Arconic,Mechanical Or Industrial Engineering,4505
Arcosa Inc.,Construction,1148
Ardagh Group,Packaging & Containers,6615
Ardent Technologies Inc,Information Technology & Services,97
Area Scouts,Sports,72
ArenaNet LLC,Computer Games,323
Argo Group,Insurance,1292
Argonne National Laboratory,Research,4585
Argyros Performing Arts Center,Performing Arts,8
Ariat International,Consumer Goods,849
Aristocrat,Gambling & Casinos,5076
Arizona Nutritional Supplements (ANS),"Health, Wellness & Fitness",207
Arjo,Medical Device,4169
"ARK Solutions, Inc.",Staffing & Recruiting,89
"Arkansas Enterprises for the Developmentally Disabled, Inc. (AEDD)",Non-profit Organization Management,78
ARM Group LLC.,Staffing & Recruiting,6
"Armata Pharmaceuticals, Inc.",Biotechnology,71
Armed Conflict Location & Event Data Project (ACLED),Research,169
Armstrong Transport Group,Transportation/Trucking/Railroad,752
Armstrong World Industries,Building Materials,2963
Army Futures Command,Military,969
Arnex Solutions LLC,Information Technology & Services,38
Aroma360,Luxury Goods & Jewelry,122
Arrant Services,Information Technology & Services,20
Arrowhead Recruit Inc,Staffing & Recruiting,7
Arrowmac,Staffing & Recruiting,18
Art of Problem Solving,E-learning,624
Artech L.L.C.,Staffing & Recruiting,3146
Arthrex,Medical Device,6629
"Arthritis and Rheumatism Associates, PC",Hospital & Health Care,127
Arthur Lawrence,Management Consulting,440
Artisan 34,Wholesale,20
Artisan Creative,Staffing & Recruiting,99
Artisan Talent,Staffing & Recruiting,104
Arvest Bank,Banking,4995
ASAP Freight Systems,Transportation/Trucking/Railroad,39
Ascend Learning,E-learning,4696
Ascend SC,Logistics & Supply Chain,71
Ascendant,Financial Services,83
Ascendient Healthcare Advisors,Hospital & Health Care,22
Ascendion,Computer Software,1954
Ascendo Resources,Staffing & Recruiting,357
Ascension at Home,Hospital & Health Care,292
Ascensus,Financial Services,5304
ASCO - (Asphalt Surfacing Company),Construction,12
Asgardia,Aviation & Aerospace,112
Ashley Furniture Industries,Furniture,8572
Ashton Woods Homes,Real Estate,838
Asian Art Museum,Museums & Institutions,249
ASK Consulting,Staffing & Recruiting,1235
ASML,Semiconductors,36267
ASPCA,Non-profit Organization Management,1211
Aspen Technology,Computer Software,4213
Aspire Bakeries,Food Production,655
Aspire Software,Computer Software,255
Aspire Systems,Information Technology & Services,4926
Asplundh Engineering Services,Utilities,143
"Asquare, Inc.",Staffing & Recruiting,33
ASR International,Defense & Space,161
Asset Living,Real Estate,2586
Associa,Real Estate,1501
Associated Bank,Financial Services,4891
Associated Recreation Council,Recreational Facilities & Services,118
Association of Universities for Research in Astronomy,Research,155
Assuaged Foundation,Higher Education,59
AssuredPartners,Insurance,4020
Astellas Gene Therapies,Biotechnology,403
Astellas Pharma US,Pharmaceuticals,5842
Aston Carter,Staffing & Recruiting,3946
AstraWorks,Staffing & Recruiting,23
AstraZeneca,Pharmaceuticals,65607
Astrix,Information Technology & Services,551
Astronics LSI,Aviation & Aerospace,107
Async Futura,Information Technology & Services,3
At Home Group Inc.,Retail,2897
ATARID Specialist Recruiters to the Property & Asset Management Industry,Staffing & Recruiting,2
ATC,Information Technology & Services,388
ATEL,Telecommunications,128
ATG (Auction Technology Group),Computer Software,470
Athelas,Biotechnology,214
Athena Security Inc.,Information Technology & Services,62
"ATI Restoration, LLC",Construction,892
Atlanta Athletic Club,Hospitality,217
Atlantic Engineering Group,Telecommunications,213
Atlantic Group,Staffing & Recruiting,451
Atlantic Health System,Hospital & Health Care,7599
Atlantic Union Bank,Banking,1399
Atlanticus,Financial Services,428
Atlantis Employment Services,Staffing & Recruiting,2
Atlas Copco,Machinery,32504
Atlas Real Estate,Real Estate,197
Atlas Search,Staffing & Recruiting,150
Atlas Technica,Information Technology & Services,188
Atlasa,Real Estate,6
Atos,Information Technology & Services,85446
atōst,Food & Beverages,6
Atrium,Staffing & Recruiting,1094
Attain Partners,Management Consulting,424
Attentive,Marketing & Advertising,1286
"Atticus, LLC",Chemicals,85
ATTN:,Entertainment,172
"Atwell, LLC",Civil Engineering,964
AtWork Personnel,Staffing & Recruiting,471
"Audacy, Inc.",Broadcast Media,5218
Audible,Computer Software,3197
Audubon Companies,Oil & Energy,1117
Aurora University,Higher Education,1221
Aurotek Corp,Computer Software,28
Aurrera Health Group,Hospital & Health Care,72
Austal USA,Shipbuilding,706
Austin Allen Company - Professional Recruitment,Staffing & Recruiting,8
Austin Bank,Banking,353
Austin Vita,Staffing & Recruiting,45
Autism Society of America,Non-profit Organization Management,154
Autodesk,Computer Software,14562
Automated Logic Corporation,Facilities Services,986
Automated Material Handling,Mechanical Or Industrial Engineering,7
AutoNation,Automotive,10315
AutoNation Subaru Spokane Valley,Retail,6
Avacend Inc,Information Technology & Services,98
AVAILABILITY Professional Staffing,Staffing & Recruiting,40
Avalara,Computer Software,4321
Avanade,Information Technology & Services,19034
Avance Consulting,Staffing & Recruiting,1555
AVANGRID,Utilities,5318
Avantor,Biotechnology,11255
AVASO Technology Solutions,Information Technology & Services,739
Avaya,Information Technology & Services,13655
Aven,Financial Services,80
AvenCell,Biotechnology,70
Avensia Technologies,Information Technology & Services,10
Avenue One,Real Estate,227
AVer USA,Computer Hardware,128
Averro,Staffing & Recruiting,105
AveryMo,Financial Services,1
Avesta Computer Services,Information Technology & Services,143
AVEVA,Computer Software,6986
AVI Foodsystems,Food & Beverages,2419
AVI Systems,Information Technology & Services,865
Avicena Tech,Semiconductors,38
Avid Placement,Staffing & Recruiting,10
Avidia Bank,Banking,226
"Avidity Biosciences, Inc.",Biotechnology,225
AvidMindz Inc,Information Technology & Services,9
Avient Corporation,Plastics,6015
Avis Budget Group,"Leisure, Travel & Tourism",14567
AVITA Medical,Medical Device,192
Avocademy (YC W22),Design,167
Awake Abroad Media,Media Production,2
AWM Global Advisors,Financial Services,6
AWP Safety,Utilities,1771
Axia Water,Utilities,9
"Axinn, Veltrop & Harkrider LLP",Law Practice,157
Axiom,Computer Hardware,77
Axiom Global Technologies,Information Technology & Services,134
Axiom Technologies,Information Technology & Services,266
AXS - Access Solutions,Shipbuilding,1
Axtria - Ingenious Insights,Computer Software,3395
Aya Healthcare,Staffing & Recruiting,18302
Aya Locums,Staffing & Recruiting,93
Ayers Saint Gross,Architecture & Planning,210
Azenta Life Sciences,Biotechnology,1230
B&C Enterprise,Marketing & Advertising,20
B&H Photo Video,Retail,1818
Babio,Renewables & Environment,4
BAC Certified Public Accountants,Accounting,75
Baccarat Hotel & Residences,Hospitality,105
Backpack Talent,Staffing & Recruiting,7
Badger Infrastructure Solutions,Environmental Services,1259
Baird,Financial Services,4917
Bakala Capital,Venture Capital & Private Equity,19
Baker McKenzie Tampa Center,Law Practice,4
Balance Staffing Company,Staffing & Recruiting,382
Balchem Corporation,Food & Beverages,754
Balducci's Food Lover's Market,Food & Beverages,68
Ballard Spahr LLP,Law Practice,1482
Ballinger,Architecture & Planning,298
Bally’s Corporation,Gambling & Casinos,2441
Baltimore Aircoil Company,Mechanical Or Industrial Engineering,745
Baltimore County Public Schools,Primary/Secondary Education,10120
Bamboo Health,Hospital & Health Care,335
Bank of America,Banking,209359
Bank of Marin,Banking,353
Bank of Queensland,Financial Services,3340
Bank OZK,Banking,2384
Bankers Life,Insurance,8931
Banyan Health Systems,Hospital & Health Care,235
Barton Associates Inc.,Staffing & Recruiting,1925
Barton Malow,Construction,1709
Basin Electric Power Cooperative,Utilities,813
Bass Pro Shops,Retail,7604
Bastion Recruiting,Staffing & Recruiting,2
Bath & Body Works,Retail,24409
Batteries Plus,Retail,2335
Bay Shore Staffing,Staffing & Recruiting,21
Bayforce,Information Technology & Services,60
Baylor Scott & White Health,Hospital & Health Care,23520
BayOne Solutions,Information Technology & Services,237
Bayside Emergency Physicians,Hospital & Health Care,17
BBSI,Human Resources,1567
BCC Construction,Construction,68
BCD Travel,"Leisure, Travel & Tourism",13954
BCforward,Information Technology & Services,1388
BCGK,Real Estate,3
"BCN Technical Services, Inc.",Machinery,72
BCW Global,Public Relations & Communications,2082
BD,Medical Device,43343
BDO USA,Accounting,10883
Beacon Building Products,Building Materials,3318
Beacon Communities LLC,Real Estate,506
Beacon Hill Staffing Group,Staffing & Recruiting,2757
Beam Therapeutics,Biotechnology,554
BeautyBio,Cosmetics,118
Bechtel Corporation,Construction,22857
Beckett Financial Group,Financial Services,5
Bedrock Machinery,Machinery,8
beem Light Sauna,"Health, Wellness & Fitness",20
"Behavioral Health Network, Inc (BHN)",Mental Health Care,1002
Behlen Mfg. Co.,Building Materials,276
Belk,Retail,11309
"Bell & Associates, Inc.",Staffing & Recruiting,35
Bell Flight,Aviation & Aerospace,7641
Bell Partners Inc,Real Estate,1405
BELLA+CANVAS,Wholesale,525
BELLEVUE PARK DENTAL,Medical Practice,4
Bellwood Labs,Computer Software,8
Beltone Alliance,Hospital & Health Care,74
BENCHMADE,Retail,242
Benchmark,Consumer Electronics,5862
Benchmark IT - Technology Talent,Information Technology & Services,27
Beneficial State Bank,Banking,202
Beneficial Talent Source,Staffing & Recruiting,27
Benevis,Hospital & Health Care,476
Benjamin Douglas,Staffing & Recruiting,37
Bent Water Brewing Co.,Food & Beverages,18
Bentley University,Higher Education,2124
"Berean Group International, Inc.",Information Technology & Services,70
Bergelectric,Construction,1243
Berke-Weiss Law PLLC,Law Practice,6
