,job_title,frequency,type
0,Quantitative Developer,800000.0,min_salary
1,Tech Lead Manager (L6-L8) | Disruptive FinTech,750000.0,min_salary
2,Urologist,600000.0,min_salary
3,"President, Platforms and Software Engineering",510000.0,min_salary
4,Fintech Startup | Tech Lead Manager - Software Engineer,500000.0,min_salary
5,Head of Corporate Development & Partnerships,350000.0,min_salary
6,"Internal Medicine Physician - $350,000/yearly - $500,000/yearly",350000.0,min_salary
7,Vice Chief -Emergency Department,315000.0,min_salary
8,Senior Labor & Employment Attorney,300000.0,min_salary
9,Quantitative Prop Trading Firm | Senior Software Engineer,300000.0,min_salary
10,"Psychiatrist, Principal Investigtor",285000.0,min_salary
11,Business Solutions Manager - Bay Area/Denver/Portland/Seattle,283700.0,min_salary
12,Business Solutions Manager- Dallas/Austin/Houston/Oklahoma,276100.0,min_salary
13,"SVP, Group Director, Digital Strategy & Analytics",275000.0,min_salary
14,Chief Development Officer ,270000.0,min_salary
15,"Psychiatrist 2, Children and Youth, Rockland Children's Psychiatric Center, Orange BOCES, P24396",269333.0,min_salary
16,"Executive Director, Head of Clinical Data Management",266815.0,min_salary
17,Head of People,265000.0,min_salary
18,AppDynamics Enterprise Sales Representative - NYC,260100.0,min_salary
19,Medical Department Head,260000.0,min_salary
20,"Senior Counsel, Employment",255000.0,min_salary
21,President TOA Global - North America,250000.0,min_salary
22,Senior Vice President of Sales,250000.0,min_salary
23,Tax Director,250000.0,min_salary
24,VP Product Management - Databases,248000.0,min_salary
25,"Director of Engineering, Growth",245000.0,min_salary
26,Associate Medical Director,245000.0,min_salary
27,Family Physician,242500.0,min_salary
28,Chief Financial Officer – Private Equity,240000.0,min_salary
29,"Director, Audio and Podcast Advertising, Twitch Advertising",237500.0,min_salary
